año,sector,actividad,subactividad,categoria,id_ipcc,tipo_de_gas,valor_en_toneladas_de_co2e,tipo_de_registro
2001,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2002,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2003,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2004,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2005,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2006,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2007,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2008,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2009,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2010,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2011,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2012,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2013,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2014,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2015,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2016,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2017,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2018,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2019,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2020,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2021,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
2022,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,CH4,0.0,Sin emisión/remoción
1990,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.01,Emisión
1991,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.01,Emisión
1992,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.01,Emisión
1993,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.01,Emisión
1994,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.01,Emisión
1995,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
1996,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
1997,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.01,Emisión
1998,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
1999,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2000,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2001,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2002,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2003,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2004,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2005,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2006,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2007,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2008,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2009,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
