id,anio,sector_id,actividad,subactividad,categoria,id_ipcc,gas_id,valor_tco2e,tipo_de_registro
206,1997,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"5,16",Emisión
207,1998,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"7,1",Emisión
208,1999,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"7,46",Emisión
209,2000,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"7,99",Emisión
210,2001,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"8,07",Emisión
211,2002,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"8,54",Emisión
212,2003,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"8,72",Emisión
213,2004,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"9,26",Emisión
214,2005,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"8,96",Emisión
215,2006,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"8,9",Emisión
216,2007,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"9,82",Emisión
217,2008,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"10,52",Emisión
218,2009,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"10,95",Emisión
219,2010,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"10,87",Emisión
220,2011,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"10,8",Emisión
221,2012,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"10,86",Emisión
222,2013,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"10,85",Emisión
223,2014,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"11,24",Emisión
224,2015,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"11,75",Emisión
225,2016,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"12,23",Emisión
226,2017,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"11,82",Emisión
227,2018,2,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,2,"11,6",Emisión
